run_tag,number_of_clients_qos0,delay_qos0,number_of_messages_qos0,message_size_qos0,number_of_clients_qos1,delay_qos1,number_of_messages_qos1,message_size_qos1,number_of_clients_qos2,delay_qos2,number_of_messages_qos2,message_size_qos2,cpu,ram,active_window_start,active_window_end,active_window_seconds,throughput_window_bins,sent_throughput_mean,sent_throughput_median,received_throughput_mean,received_throughput_completion_percentage,received_throughput_median,message_loss,malformed_e2e_rows_skipped,cpu_mean_consumption,ram_mean_consumption,cpu_reached_maximum_capacity,ram_reached_maximum_capacity,incoming_throughput_qos0,incoming_throughput_qos1,incoming_throughput_qos2,cpu_factor_compared_to_min,ram_factor_compared_to_min,throughput_reached_maximum_capacity,message_loss_threshold_exceeded
20260603232330_0__C0100_D080_M03750_S0100_C1100_D126_M111250_S1250_C2250_D212500_M224_S2500_CPU2_RAM1g,100,80,3750,100,100,26,11250,250,250,12500,24,500,2,1g,1780550033000,1780550339000,307.0,307,24537.035830618894,25560.0,24537.035830618894,0.9600405280972504,25483.0,-2870.0,0,48.44784296028881,49.404729241877256,false,false,6250.0,19225.000000000004,83.33333333333334,3.335771608543916,7.224577282556815,False,False
20260603232330_13__C050_D013_M022500_S0250_C150_D110_M130000_S1500_C250_D250_M26000_S2100_CPU8_RAM4g,50,13,22500,250,50,10,30000,500,50,50,6000,100,8,4g,1780550109000,1780550416000,308.0,308,32439.886363636364,24240.0,32439.886363636364,0.6589566421728926,33671.0,4633515.0,0,36.28739208633094,14.808489208633095,false,false,19229.166666666668,25000.0,5000.0,2.498490022949049,2.1654824622537134,True,True
20260603232330_14__C0100_D040_M07500_S0250_C1100_D120_M115000_S1100_C2100_D2300_M2999_S2250_CPU16_RAM8g,100,40,7500,250,100,20,15000,100,100,300,999,250,16,8g,1780550112000,1780550433000,322.0,314,37083.71337579618,40696.5,37083.71337579618,0.9468182138501152,36708.0,105214.0,0,18.996766909246578,22.185393835616438,false,false,12500.0,25000.0,1666.666666666667,1.3079813638335311,3.244225700026937,True,True
20260603232330_16__C0100_D05000_M060_S0100_C150_D120_M115000_S1100_C250_D275_M23999_S2100_CPU16_RAM8g,100,5000,60,100,50,20,15000,100,50,75,3999,100,16,8g,1780550111000,1780550413000,303.0,303,15775.23102310231,15935.0,15775.23102310231,0.9900772608641616,15921.0,-145.0,0,51.169855769230765,6.838424908424908,false,false,100.0,12500.0,3333.333333333334,3.523189922577093,1.0,False,False
20260603232330_22__C050_D010_M030000_S01000_C150_D113_M122500_S11000_C2250_D2375_M2799_S2250_CPU2_RAM1g,50,10,30000,1000,50,13,22500,1000,250,375,799,250,2,1g,1780551094000,1780551418000,325.0,325,10505.926153846154,3295.0,10505.926153846154,0.22088675224906498,9902.0,10709324.0,0,25.551906779661017,71.06725423728814,false,false,25000.0,19229.166666666668,3333.333333333333,1.759321364412834,10.392342562646789,True,True
20260603232330_23__C050_D010_M030000_S0500_C150_D120_M115000_S1100_C250_D22500_M2120_S2500_CPU16_RAM8g,50,10,30000,500,50,20,15000,100,50,2500,120,500,16,8g,1780552898000,1780553212000,315.0,315,25652.825396825396,36015.0,25652.825396825396,0.6822559945964201,26748.0,3199360.0,0,26.854871710526314,6.882421052631579,false,false,25000.0,12500.0,100.0,1.8490342010993186,1.006433666348002,True,True
20260603232330_3__C050_D010_M030000_S0500_C1250_D1200_M11500_S1100_C2100_D2150_M21999_S2100_CPU2_RAM1g,50,10,30000,500,250,200,1500,100,100,150,1999,100,2,1g,1780550058000,1780550371000,314.0,314,24105.716560509554,34550.0,24105.716560509554,0.697032768014734,25704.0,2805305.0,0,38.112614436619715,50.49871478873239,false,false,25000.0,6250.0,3333.333333333334,2.624161766484952,7.3845535287692075,True,True
20260603232330_4__C0100_D020_M015000_S01000_C1100_D120_M115000_S1100_C250_D275_M23999_S2250_CPU8_RAM4g,100,20,15000,1000,100,20,15000,100,50,75,3999,250,8,4g,1780550055000,1780550381000,327.0,327,29206.403669724772,26805.0,29206.403669724772,0.5476200688073395,28579.0,6449256.0,0,23.655864898989897,50.64510101010101,false,false,25000.0,25000.0,3333.333333333334,1.6287734950404629,7.405959952518669,True,True
20260603232330_6__C0100_D026_M011250_S0250_C1250_D1100_M13000_S11000_C2250_D2187_M21599_S2250_CPU16_RAM8g,100,26,11250,250,250,100,3000,1000,250,187,1599,250,16,8g,1780550136000,1780550478000,343.0,343,9845.265306122448,8755.0,9845.265306122448,0.25644276898951457,9514.0,7996824.0,0,14.523729033546328,28.996405750798722,false,false,19225.000000000004,12500.0,6666.666666666666,1.0,4.240217029374014,True,True
20260603232330_9__C050_D040_M07500_S01000_C1100_D120_M115000_S1500_C2100_D275_M23999_S21000_CPU2_RAM1g,50,40,7500,1000,100,20,15000,500,100,75,3999,1000,2,1g,1780550120000,1780550441000,322.0,319,12417.122257053292,0.0,12417.122257053292,0.3274845430431637,12507.0,7413438.0,0,30.127311643835615,99.7851198630137,false,true,6250.0,25000.0,6666.666666666668,2.0743509861860376,14.591827971976253,True,True
20260603142535_0__C0250_D0200_M01500_S0500_C150_D120_M115000_S1500_C2250_D2375_M2799_S2250_CPU2_RAM1g,250,200,1500,500,50,20,15000,500,250,375,799,250,2,1g,1780490126000,1780490441000,316.0,316,11956.351265822785,9500.0,11956.351265822785,0.5414196799617865,10755.5,2845543.0,0,24.13930944055944,98.15881118881119,false,true,6250.0,12500.0,3333.333333333333,1.0,6.375538227379769,True,True
20260603142535_1__C0100_D080_M03750_S0100_C1100_D140_M17500_S11000_C2100_D25000_M260_S2100_CPU8_RAM4g,100,80,3750,100,100,40,7500,1000,100,5000,60,100,8,4g,1780490102000,1780490411000,310.0,310,14065.08064516129,12350.0,14065.08064516129,0.7461581244117396,14560.5,1294825.0,0,30.069564732142855,15.396160714285715,false,false,6250.0,12500.0,100.0,1.2456679759703175,1.0,True,True
20260603142535_2__C0100_D040_M07500_S01000_C1100_D15000_M160_S11000_C250_D275_M23999_S21000_CPU2_RAM1g,100,40,7500,1000,100,5000,60,1000,50,75,3999,1000,2,1g,1780490284000,1780490593000,310.0,310,11822.483870967742,16162.5,11822.483870967742,0.7419968956674315,12271.0,1114780.0,0,30.16848214285714,50.788089285714285,false,false,12500.0,100.0,3333.333333333334,1.2497657489806788,3.2987502682138983,True,True
20260603142535_4__C0250_D0200_M01500_S0100_C1100_D180_M13750_S11000_C250_D237_M27999_S2500_CPU2_RAM1g,250,200,1500,100,100,80,3750,1000,50,37,7999,500,2,1g,1780490312000,1780490632000,321.0,321,17864.158878504673,19325.0,17864.158878504673,0.9278074293099161,18243.0,15355.0,0,39.26731958762887,99.51341924398625,false,true,6250.0,6250.0,6754.166666666666,1.6266960612241452,6.463521724065287,True,True
20260604184425_0__C0100_D0114_M02625_S01000_C150_D12500_M1120_S1100_C2100_D2133_M22250_S2500_CPU4_RAM2g,100,114,2625,1000,50,2500,120,100,100,133,2250,500,4,2g,1780636398000,1780636698000,301.0,301,8214.285714285714,8240.0,8214.285714285714,0.9966777408637871,8239.0,-5000.0,0,52.300641143911434,26.519298892988928,false,false,4383.333333333334,100.0,3758.333333333333,6.3160171328842285,4.13884393662787,False,True
20260604184425_10__C0150_D042_M07000_S01000_C1100_D138_M17875_S11000_C2100_D2400_M2750_S2100_CPU2_RAM1g,150,42,7000,1000,100,38,7875,1000,100,400,750,100,2,1g,1780636470000,1780636810000,341.0,340,8951.155882352941,1310.0,8951.155882352941,0.2775552211582307,8959.5,6519107.0,0,23.365755627009648,99.71319935691318,false,true,17850.0,13150.0,1250.0,2.821734296849233,15.562152386661833,True,True
20260604184425_11__C0100_D057_M05250_S0250_C1100_D157_M15250_S1500_C2100_D2100_M23000_S2750_CPU2_RAM1g,100,57,5250,250,100,57,5250,500,100,100,3000,750,2,1g,1780636466000,1780636792000,327.0,327,17341.201834862386,14640.0,17341.201834862386,0.7695799630856087,17407.0,1079427.0,0,29.736910774410774,99.64888888888889,false,true,8766.666666666668,8766.666666666668,5000.0,3.591138345960658,15.552115507794179,True,True
20260604184425_12__C0150_D0171_M01750_S01000_C1100_D1114_M12625_S1250_C250_D2100_M23000_S2250_CPU2_RAM1g,150,171,1750,1000,100,114,2625,250,50,100,3000,250,2,1g,1780636466000,1780636768000,303.0,303,11149.851485148514,11265.0,11149.851485148514,0.9903643066009042,11207.0,-3405.0,0,44.50485347985348,43.076904761904764,false,false,4375.0,4383.333333333334,2500.0,5.374569239061427,6.722975098321359,False,False
20260604184425_1__C0150_D042_M07000_S0250_C1100_D128_M110500_S1250_C2150_D2200_M21500_S21000_CPU8_RAM4g,150,42,7000,250,100,28,10500,250,150,200,1500,1000,8,4g,1780636430000,1780636806000,377.0,360,17499.31111111111,19290.5,17499.31111111111,0.4435820306999014,17110.0,5325248.0,0,26.919194884726224,57.91704610951009,false,false,17850.0,17850.000000000004,3750.0,3.250860646766151,9.039063064412918,True,True
20260604184425_2__C0150_D07500_M040_S0500_C150_D12500_M1120_S1500_C250_D2200_M21500_S21000_CPU2_RAM1g,150,7500,40,500,50,2500,120,500,50,200,1500,1000,2,1g,1780636413000,1780636717000,305.0,305,1426.2295081967213,1450.0,1426.2295081967213,0.9836065573770492,1450.0,0.0,0,8.280636363636365,22.706472727272725,false,false,100.0,100.0,1250.0,1.0,3.543779469762849,False,False
20260604184425_3__C0100_D028_M010500_S0750_C1150_D1171_M11750_S11000_C2100_D25000_M260_S2750_CPU4_RAM2g,100,28,10500,750,150,171,1750,1000,100,5000,60,750,4,2g,1780636421000,1780636750000,330.0,330,9369.527272727273,4347.5,9369.527272727273,0.41968767179069527,8938.5,3500556.0,0,20.616204166666666,70.93558333333333,false,false,17850.000000000004,4375.0,100.0,2.4896883839991797,11.07085485762771,True,True
20260604184425_4__C050_D028_M010500_S0100_C1100_D1114_M12625_S1500_C2100_D2100_M23000_S2750_CPU16_RAM8g,50,28,10500,100,100,114,2625,500,100,100,3000,750,16,8g,1780636423000,1780636724000,302.0,302,18042.46688741722,18325.0,18042.46688741722,0.9854783916659382,18423.5,-11325.0,0,49.380969036697245,7.442220183486239,false,false,8925.000000000002,4383.333333333334,5000.0,5.963426827139654,1.1615008377772362,False,True
20260604184425_5__C0150_D085_M03500_S0100_C150_D12500_M1120_S1750_C2150_D2600_M2500_S21000_CPU2_RAM1g,150,85,3500,100,50,2500,120,750,150,600,500,1000,2,1g,1780636422000,1780636722000,301.0,301,10070.31561461794,10160.0,10070.31561461794,0.9909289657680631,10161.0,-1165.0,0,44.25946494464945,38.09330258302583,false,false,8812.5,100.0,1250.0,5.344935220076892,5.945188636324371,False,False
20260604184425_6__C050_D02500_M0120_S01000_C150_D119_M115750_S1100_C250_D250_M26000_S2750_CPU16_RAM8g,50,2500,120,1000,50,19,15750,100,50,50,6000,750,16,8g,1780636412000,1780636712000,301.0,301,18193.28903654485,18255.0,18193.28903654485,0.9966650008607085,18227.0,-8680.0,0,50.13919972324723,6.407416974169742,false,false,100.0,13154.166666666668,5000.0,6.054993544147019,1.0,False,True
20260604184425_7__C0150_D042_M07000_S01000_C150_D119_M115750_S1100_C2100_D2200_M21500_S2250_CPU8_RAM4g,150,42,7000,1000,50,19,15750,100,100,200,1500,250,8,4g,1780636423000,1780636744000,322.0,322,20084.53105590062,15353.0,20084.53105590062,0.5994636803154021,19367.0,3470281.0,0,17.178443921232876,26.338544520547945,false,false,17850.0,13154.166666666668,2500.0,2.0745318556277144,4.110633758771542,True,True
20260604184425_8__C0150_D042_M07000_S0100_C1150_D1171_M11750_S1500_C2150_D2200_M21500_S2750_CPU2_RAM1g,150,42,7000,100,150,171,1750,500,150,200,1500,750,2,1g,1780636436000,1780636766000,331.0,329,20865.534954407296,22805.0,20865.534954407296,0.8032929722582212,21439.0,822739.0,0,29.496752491694348,99.28006644518273,false,true,17850.0,4375.0,3750.0,3.5621359514380515,15.494553709460622,True,True
20260604184425_9__C0100_D0114_M02625_S0500_C1100_D1114_M12625_S1500_C250_D2200_M21500_S21000_CPU8_RAM4g,100,114,2625,500,100,114,2625,500,50,200,1500,1000,8,4g,1780636465000,1780636765000,301.0,301,9983.372093023256,10025.0,9983.372093023256,0.9966760824981619,10022.0,-4995.0,0,51.018890682656824,12.384852398523986,false,false,4383.333333333334,4383.333333333334,1250.0,6.161228248918341,1.9328931531147597,False,True
20260607220913_0__C050_D019_M015750_S01000_C150_D119_M115750_S1100_C250_D22500_M2120_S21000_CPU8_RAM4g,50,19,15750,1000,50,19,15750,100,50,2500,120,1000,8,4g,1780895615000,1780895920000,306.0,306,22382.20588235294,26370.0,22382.20588235294,0.8475432962708591,22949.0,1056045.0,0,38.83228713768116,11.817608695652174,false,false,13154.166666666668,13154.166666666668,100.0,3.1994030030509144,1.6760897902353225,True,True
20260607220913_10__C0100_D038_M07875_S0100_C1100_D138_M17875_S1750_C250_D22500_M2120_S2500_CPU16_RAM8g,100,38,7875,100,100,38,7875,750,50,2500,120,500,16,8g,1780895679000,1780895983000,305.0,305,21633.55737704918,13305.0,21633.55737704918,0.8194529309488325,22106.0,1306765.0,0,31.655102272727277,9.025581818181818,false,false,13150.0,13150.0,100.0,2.6080727337579934,1.2800970082850809,True,True
20260607220913_11__C0100_D0114_M02625_S0750_C150_D12500_M1120_S1750_C250_D2200_M21500_S21000_CPU2_RAM1g,100,114,2625,750,50,2500,120,750,50,200,1500,1000,2,1g,1780895677000,1780895979000,303.0,303,5502.970297029703,5555.0,5502.970297029703,0.9598204006447155,5557.0,50100.0,0,28.507783882783883,20.533076923076923,false,false,4383.333333333334,100.0,1250.0,2.34876429095007,2.9122034312701093,False,True
20260607220913_12__C050_D057_M05250_S0100_C1100_D128_M110500_S1500_C2100_D2200_M21500_S21000_CPU8_RAM4g,50,57,5250,100,100,28,10500,500,100,200,1500,1000,8,4g,1780895694000,1780896010000,317.0,317,16974.81388012618,6949.0,16974.81388012618,0.6863132296546973,17440.0,1931484.0,0,27.60676611498258,36.206254355400695,false,false,4383.333333333334,17850.000000000004,2500.0,2.274529184944468,5.13512799675597,True,True
20260607220913_13__C0150_D085_M03500_S0250_C1150_D185_M13500_S1500_C2150_D2300_M21000_S2750_CPU16_RAM8g,150,85,3500,250,150,85,3500,500,150,300,1000,750,16,8g,1780895710000,1780896046000,337.0,337,12794.578635014837,13737.0,12794.578635014837,0.6357554601249609,11528.0,1688227.0,0,15.728362174267101,27.221107491856674,false,false,8812.5,8812.5,2500.0,1.2958641605375054,3.860765872437895,True,True
20260607220913_14__C0150_D0171_M01750_S0100_C1100_D1114_M12625_S1250_C250_D2100_M23000_S2750_CPU4_RAM2g,150,171,1750,100,100,114,2625,250,50,100,3000,750,4,2g,1780895688000,1780895991000,304.0,304,11110.180921052632,11265.0,11110.180921052632,0.9868406443570065,11281.5,-2495.0,0,49.05008211678832,25.44248175182482,false,false,4375.0,4383.333333333334,2500.0,4.0412499904510515,3.6085036322256316,False,False
20260607220913_15__C0150_D057_M05250_S01000_C1150_D142_M17000_S1250_C2100_D25000_M260_S2250_CPU4_RAM2g,150,57,5250,1000,150,42,7000,250,100,5000,60,250,4,2g,1780895698000,1780896049000,352.0,347,16924.118155619595,14365.0,16924.118155619595,0.5441838635247458,16671.0,3344831.0,0,26.848412267080743,97.36562111801243,false,true,13150.000000000002,17850.0,100.0,2.212048199218598,13.80935243996207,True,True
20260607220913_16__C050_D028_M010500_S0100_C1100_D157_M15250_S11000_C2150_D2200_M21500_S2500_CPU16_RAM8g,50,28,10500,100,100,57,5250,1000,150,200,1500,500,16,8g,1780895695000,1780896011000,317.0,314,15850.40127388535,12889.0,15850.40127388535,0.7392336388908829,15692.5,1397974.0,0,12.137354094076656,13.706881533101045,false,false,8925.000000000002,8766.666666666668,3750.0,1.0,1.9440450928154454,True,True
20260607220913_17__C050_D019_M015750_S0500_C1150_D17500_M140_S1500_C2100_D2400_M2750_S2250_CPU4_RAM2g,50,19,15750,500,150,7500,40,500,100,400,750,250,4,2g,1780895709000,1780896012000,304.0,304,14313.305921052632,14505.0,14313.305921052632,0.9868409712877424,14494.0,-8745.0,0,45.91619981751825,21.368229927007302,false,false,13154.166666666668,100.0,1250.0,3.7830485509132954,3.030653065136144,False,True
20260607220913_1__C0100_D028_M010500_S0500_C150_D128_M110500_S1250_C250_D2100_M23000_S21000_CPU4_RAM2g,100,28,10500,500,50,28,10500,250,50,100,3000,1000,4,2g,1780895616000,1780895939000,324.0,324,19757.53086419753,21387.5,19757.53086419753,0.6748943079145184,19781.5,2223560.0,0,26.35017006802721,82.00926870748299,false,false,17850.000000000004,8925.000000000002,2500.0,2.170997885023951,11.631363123052846,True,True
20260607220913_2__C050_D028_M010500_S0750_C1150_D17500_M140_S1750_C250_D266_M24500_S2500_CPU2_RAM1g,50,28,10500,750,150,7500,40,750,50,66,4500,500,2,1g,1780895620000,1780895922000,303.0,303,12471.386138613861,12810.0,12471.386138613861,0.9733764791113256,12437.0,1170.0,0,43.30032051282051,33.688974358974356,false,false,8925.000000000002,100.0,3787.5,3.5675255230423075,4.7781025265585955,False,False
20260607220913_34__C0150_D0171_M01750_S0100_C150_D128_M110500_S1250_C2150_D2200_M21500_S2250_CPU8_RAM4g,150,171,1750,100,50,28,10500,250,150,200,1500,250,8,4g,1780945800000,1780946100000,301.0,301,16814.950166112958,17045.0,16814.950166112958,0.9862140859890298,16989.0,1200.0,0,52.745747232472326,13.592619926199262,false,false,4375.0,8925.000000000002,3750.0,4.345736873427267,1.9278393850723536,False,False
20260607220913_35__C0100_D038_M07875_S0100_C1150_D1171_M11750_S11000_C2150_D2150_M22000_S2100_CPU2_RAM1g,100,38,7875,100,150,171,1750,1000,150,150,2000,100,2,1g,1780945853000,1780946154000,302.0,302,9312.897350993377,9375.0,9312.897350993377,0.4134471631961543,9416.0,3937505.0,0,35.39889705882353,49.85145220588235,false,false,13150.0,4375.0,5000.0,2.916525033746779,7.0704245014834965,True,True
20260607220913_36__C0100_D028_M010500_S0750_C150_D157_M15250_S1100_C2150_D27500_M240_S2750_CPU2_RAM1g,100,28,10500,750,50,57,5250,100,150,7500,40,750,2,1g,1780945827000,1780946137000,311.0,311,18872.17041800643,22315.0,18872.17041800643,0.8450225560301385,20171.0,723255.0,0,33.90169039145908,41.12359430604982,false,false,17850.000000000004,4383.333333333334,100.0,2.7931697574847867,5.832553634942107,True,True
20260607220913_3__C050_D014_M021000_S0100_C1150_D185_M13500_S1750_C2150_D27500_M240_S2100_CPU16_RAM8g,50,14,21000,100,150,85,3500,750,150,7500,40,100,16,8g,1780895635000,1780895949000,315.0,315,22145.31746031746,23790.0,22145.31746031746,0.8273468540591827,22034.0,929225.0,0,15.321456140350877,19.477684210526316,false,false,17854.166666666668,8812.5,100.0,1.2623390585455643,2.7625172303007335,True,True
20260607220913_4__C0150_D085_M03500_S0500_C1150_D157_M15250_S1750_C2100_D2100_M23000_S2500_CPU8_RAM4g,150,85,3500,500,150,57,5250,750,100,100,3000,500,8,4g,1780895688000,1780896103000,416.0,365,10838.728767123288,11085.0,10838.728767123288,0.4019927220073542,10490.0,4106364.0,0,23.248167098445595,57.493691709844555,false,false,8812.5,13150.000000000002,5000.0,1.9154229923794763,8.154322262613183,True,True
20260607220913_5__C050_D014_M021000_S0500_C150_D128_M110500_S1250_C2100_D2400_M2750_S2750_CPU16_RAM8g,50,14,21000,500,50,28,10500,250,100,400,750,750,16,8g,1780895620000,1780895927000,308.0,308,21159.83766233766,27970.0,21159.83766233766,0.754922110741941,22381.0,1732770.0,0,37.17152090827338,7.050701438848921,false,false,17854.166666666668,8925.000000000002,1250.0,3.062572008706086,1.0,True,True
20260607220913_6__C0100_D0114_M02625_S01000_C1100_D157_M15250_S1500_C250_D266_M24500_S2750_CPU4_RAM2g,100,114,2625,1000,100,57,5250,500,50,66,4500,750,4,2g,1780895688000,1780896021000,334.0,329,12214.504559270517,13595.0,12214.504559270517,0.7211515606949382,12349.0,1043928.0,0,32.30449013157895,92.93814144736842,false,true,4383.333333333334,8766.666666666668,3787.5,2.6615759811559245,13.181403616849398,True,True
